,rec_name,tot_time_seconds,rec_source,rating
Best-Brownies-1604883,Best Brownies,3600.0,AllRecipes,4
Chocolate-Hazelnut-Brownies-1046665,Chocolate-Hazelnut Brownies,3300.0,Frites & Fries,4
Cheesecake-Topped-Brownies-Allrecipes,Cheesecake Topped Brownies,3900.0,AllRecipes,5
Caramel-Brownies-with-Pretzel-Crust-1427564,Caramel Brownies with Pretzel Crust,2700.0,Neurotic Baker,4
Irish-car-bomb-brownies-352854,Irish Car Bomb Brownies,3600.0,A Spicy Perspective,5
Salted-Caramel-Cocoa-Brownies-932583,Salted Caramel Cocoa Brownies,4500.0,Flavor The Moments,4
Caramel-Apple-Brownie-Cheesecake-1095965,Caramel Apple-Brownie Cheesecake,14400.0,MyRecipes,3
White-Chocolate-Cashew-Brownies-1340632,White Chocolate Cashew Brownies,3600.0,Love Foodies,4
Chocolate-Peppermint-Brownies-1534279,Chocolate-Peppermint Brownies,2700.0,Food & Wine,3
Flourless-Black-Bean-Brownies-544545,Flourless Black Bean Brownies,2700.0,YumUniverse,4
Brownie-Caramel-Cheesecake-924294,Brownie Caramel Cheesecake,6300.0,I Save A2Z,4
Cherry-Cheesecake-Brownies-1487958,Cherry Cheesecake Brownies,3900.0,The Plaid and Paisley Kitchen,4
Homemade-Heart-Brownies-with-Strawberry-Frosting-998830,Homemade Heart Brownies with Strawberry Frosting,3000.0,Simplistically Living,3
My-Precious-Vegan-Brownies-1250173,My Precious Vegan Brownies,1800.0,Chokolat Pimienta,4
Trail-Mix-Brownies-1378270,Trail Mix Brownies,2700.0,Broma Bakery,4
Quintuple-Chocolate-Brownies-471982,Quintuple Chocolate Brownies,1800.0,Recipe Girl,5
Fudgy-coffee-brownies-359805,Fudgy Coffee Brownies,4500.0,Epicurious,5
Oreo-Cheesecake-Topped-Brownies-478503,Oreo Cheesecake Topped Brownies,6300.0,Life Made Simple,4
Summer-Tip-Tuesday-Paleo-Brownies-1009305,Summer Tip Tuesday – Paleo Brownies,3900.0,Cosmic Crossfit,3
Peanut-Butter-Swirl-Brownies-1340864,Peanut Butter Swirl Brownies,3600.0,Deliciously Sprinkled,4
Nutella-Brownies-473365,Nutella Brownies,2100.0,Two Peas & Their Pod,5
Pumpkin-Cheesecake-Brownies-470703,Pumpkin Cheesecake Brownies,3900.0,Tracey's Culinary Adventures,4
Brookie-A-Brownie-And-Cookie-Combined_-1184664,Brookie – A Brownie And Cookie Combined!,1800.0,Momcrieff,4
Red-Velvet-Cheesecake-Brownies-1004133,Red Velvet Cheesecake Brownies,3000.0,Wishes and Dishes,4
Peanut-Butter-Brownie-Truffles-1585616,Peanut Butter Brownie Truffles,3900.0,Sincerely Jean,4
The-Best-Ever-Outrageous-Brownies-783018,The Best Ever Outrageous Brownies,3000.0,The Slow Roasted Italian,4
Gooey-Chocolate-Brownies-1069861,Gooey Chocolate Brownies,1800.0,My Midlife Kitchen,4
Mini-Creme-Egg-Brownies-1004563,Mini Creme Egg Brownies,3000.0,I'd Much Rather Bake Than...,4
Crazy-Brownies-1176745,Crazy Brownies,3000.0,Making Miracles,4
Homemade-Fudge-Brownies-1421579,Homemade Fudge Brownies,3900.0,Cooking Channel,3
Chocolate-Walnut-Brownie-1506028,Chocolate Walnut Brownie,2100.0,FooodBug,3
Raw-brownies-330768,Raw Brownies,2400.0,Food52,5
Chewy-Brownie-Cookies-1605919,Chewy Brownie Cookies,5100.0,AllRecipes,4
Caramel-Filled-Brownies-1322441,Caramel Filled Brownies,3300.0,Table for Two,4
Chocolate-Peanut-Butter-Brownies-977216,Chocolate Peanut Butter Brownies,2400.0,Coffee With Us 3,4
Fudge-Brownies-1498499,Fudge Brownies,3000.0,Tramplingrose,4
Peanut-Butter-Banana-Bread-Brownies-998425,Peanut Butter Banana Bread Brownies,2400.0,Amy's Healthy Baking,4
Cadbury-Mini-Egg-Skillet-Brownies-1543822,Cadbury Mini Egg Skillet Brownies,3600.0,Domestic Superhero,4
Grand-Marnier-Brownie-Bites-514842,Grand Marnier Brownie Bites,6300.0,Liv Life,4
Raw-Mint-Brownies-1046303,Raw Mint Brownies,900.0,Fit Foodie Finds,4
Oatmeal-Cream-Pie-Brownies-998881,Oatmeal Cream Pie Brownies,2700.0,Buns in my Oven,4
Red-Velvet-Creme-Brulee-Brownies-1454545,Red Velvet Creme Brûlée Brownies,4500.0,Peas and Peonies,4
Mississippi-Mud-Brownies-1323656,Mississippi Mud Brownies,2700.0,Jam Hands,4
Mexican-Fudge-Brownies-with-Cinnamon-Butter-Cream-Frosting-Adapted-from-Better-Homes-and-Gardens-534892,Mexican Fudge Brownies with Cinnamon Butter Cream Frosting Adapted from Better Homes and Gardens,900.0,"Baking and Cooking, A Tale of Two Loves",4
Triple-Chocolate-Homemade-Brownie-896868,Triple Chocolate Homemade Brownie,1800.0,Recipe for Perfection,4
Chocolate-Caramel-Brownies-972975,Chocolate Caramel Brownies,3600.0,The Best Blog Recipes,4
